Elle	Vogue
Fashion Law Institute	Fordham University
Trump Model Management	Marcelle Almonte
Alexia Palmer	Department of Labor
Kate	Trump Model Management
Kate	Anna
Alexia Palmer	Ballon, Stoll, Bader & Nadler
Trump Model Management	Corinne Nicolas
Kate	Donald Trump
Trump Model Management	Donald Trump
Trump Model Management	Anna
Politico	Melania Trump
Donald Trump	Rachel Blais
Rachel Blais	Busta Rhymes
Elle	Jean Paul Gaultier
Sara Ziff	Model Alliance
Kate	Mother Jones
Elle	Dolce & Gabbana
Trump Model Management	Mother Jones
Donald Trump	NBC
Fashion Law Institute	Susan Scafidi
Public Radio International	Rachel Blais
Alexia Palmer	Rachel Blais
Donald Trump	Trump Model Management
Daily News	Anthony Weiner
Alexia Palmer	Teen Vogue
Elle	Rachel Blais
Alexia Palmer	Trump Model Management
Anna	Donald Trump
Louis Lanzano	Pierre Roussel
Alexia Palmer	Donald Trump
Elle	Gianfranco Ferré
Hope Hicks	Trump Model Management
Louis Lanzano	AP Photo
Hope Hicks	Donald Trump
Politico	Donald Trump
Donald Trump	Republican
Alexia Palmer	Mother Jones
Anastasia Tonello	Mother Jones
Alexia Palmer	Pankaj Malik
Anastasia Tonello	Laura Devine Attorneys
Hope Hicks	Mother Jones
Kate	Rachel Blais
Trump Model Management	Rachel Blais
Alexia Palmer	Naresh Gehi
Alexia Palmer	Condé Nast
Rachel Blais	Donald Trump
Donald Trump	Melania Trump
